USER       PID %CPU %MEM    VSZ   RSS TTY      STAT START   TIME COMMAND
root         1  0.0  0.0 128672  7332 ?        Ss   09:01   0:03 /usr/lib/systemd/systemd --switched-root --system --deserialize 22
root       965  0.0  0.0      0     0 ?        S<   09:01   0:00 [xprtiod]
root       988  0.0  0.0 228208  5660 ?        Ss   09:01   0:00 /usr/sbin/abrtd -d -s
dbus       989  0.0  0.0  70108  4140 ?        Ssl  09:01   0:00 /usr/bin/dbus-daemon --system --address=systemd: --nofork --nopidfile --systemd-activation
rpc        990  0.0  0.0  69256  1000 ?        Ss   09:01   0:00 /sbin/rpcbind -w
root       993  0.0  0.0 396456  4052 ?        Ssl  09:01   0:00 /usr/libexec/accounts-daemon
root       994  0.0  0.0 225864  4832 ?        Ss   09:01   0:00 /usr/bin/abrt-watch-log -F BUG: WARNING: at WARNING: CPU: INFO: possible recursive locking detected ernel BUG at list_del corruption list_add corruption do_IRQ: stack overflow: ear stack overflow (cur: eneral protection fault nable to handle kernel ouble fault: RTNL: assertion failed eek! page_mapcount(page) went negative! adness at NETDEV WATCHDOG ysctl table check failed : nobody cared IRQ handler type mismatch Kernel panic - not syncing: Machine Check Exception: Machine check events logged divide error: bounds: coprocessor segment overrun: invalid TSS: segment not present: invalid opcode: alignment check: stack segment: fpu exception: simd exception: iret exception: /var/log/messages -- /usr/bin/abrt-dump-oops -xtD
root       999  0.0  0.0  52880  2876 ?        Ss   09:01   0:00 /usr/sbin/smartd -n -q never
root      1011  0.0  0.0 630496  9424 ?        Ssl  09:01   0:00 /usr/sbin/NetworkManager --no-daemon
root      1014  0.0  0.0 451468  6944 ?        Ssl  09:01   0:01 /usr/libexec/udisks2/udisksd
polkitd   1016  0.0  0.0 616932 11420 ?        Ssl  09:01   0:01 /usr/lib/polkit-1/polkitd --no-debug
root      1017  0.0  0.0  26432  1812 ?        Ss   09:01   0:00 /usr/lib/systemd/systemd-logind
root      1031  0.0  0.0  90604  3176 ?        Ss   09:01   0:02 /sbin/rngd -f
libstor+  1048  0.0  0.0   8580   832 ?        Ss   09:01   0:00 /usr/bin/lsmd -d
rtkit     1050  0.0  0.0 198784  1768 ?        SNsl 09:01   0:00 /usr/libexec/rtkit-daemon
root      1053  0.0  0.0 225864  4832 ?        Ss   09:01   0:00 /usr/bin/abrt-watch-log -F Backtrace /var/log/Xorg.0.log -- /usr/bin/abrt-dump-xorg -xD
root      1076  0.0  0.0 201432  1268 ?        Ssl  09:01   0:00 /usr/sbin/gssproxy -D
root      1144  0.0  0.0 115412   964 ?        S    09:01   0:00 /bin/bash /usr/sbin/ksmtuned
root      1186  0.0  0.0      0     0 ?        S    09:01   0:01 [irq/493-eno3-tx]
root      1187  0.0  0.0      0     0 ?        S    09:01   0:00 [irq/494-eno3-rx]
root      1188  0.0  0.0      0     0 ?        S    09:01   0:05 [irq/495-eno3-rx]
root      1189  0.0  0.0      0     0 ?        S    09:01   0:00 [irq/496-eno3-rx]
root      1190  0.0  0.0      0     0 ?        S    09:01   0:00 [irq/497-eno3-rx]
root      1224  0.1  0.0      0     0 ?        S    09:01   0:21 [irq/498-eno4-tx]
root      1225  0.1  0.0      0     0 ?        S    09:01   0:23 [irq/499-eno4-rx]
root      1226  0.0  0.0      0     0 ?        S    09:01   0:00 [irq/500-eno4-rx]
root      1227  0.0  0.0      0     0 ?        S    09:01   0:00 [irq/501-eno4-rx]
root      1228  0.0  0.0      0     0 ?        S    09:01   0:00 [irq/502-eno4-rx]
root      1496  0.0  0.0 112936  4348 ?        Ss   09:01   0:00 /usr/sbin/sshd -D
root      1498  0.0  0.1 500500 17140 ?        Ssl  09:01   0:00 /usr/bin/python -Es /usr/sbin/tuned -l -P
root      1499  0.0  0.0 216400  4288 ?        Ssl  09:01   0:00 /usr/sbin/rsyslogd -n
root      1503  0.0  0.1 1012660 21308 ?       Ssl  09:01   0:00 /usr/sbin/libvirtd
root      1511  0.0  0.0 126392  1692 ?        Ss   09:01   0:00 /usr/sbin/crond -n
root      1512  0.0  0.0  25908   936 ?        Ss   09:01   0:00 /usr/sbin/atd -f
root      1513  0.0  0.0 481424  4660 ?        Ssl  09:01   0:00 /usr/sbin/gdm
nobody    1883  0.0  0.0  56124  1108 ?        S    09:01   0:00 /usr/sbin/dnsmasq --conf-file=/var/lib/libvirt/dnsmasq/default.conf --leasefile-ro --dhcp-script=/usr/libexec/libvirt_leaseshelper
root      1884  0.0  0.0  56096   388 ?        S    09:01   0:00 /usr/sbin/dnsmasq --conf-file=/var/lib/libvirt/dnsmasq/default.conf --leasefile-ro --dhcp-script=/usr/libexec/libvirt_leaseshelper
root      2029  0.0  0.4 399452 65864 tty1     Ssl+ 09:01   0:03 /usr/bin/X :0 -background none -noreset -audit 4 -verbose -auth /run/gdm/auth-for-gdm-5l7bN0/database -seat seat0 -nolisten tcp vt1
root      2115  0.0  0.0 430380  5148 ?        Ssl  09:01   0:00 /usr/libexec/upowerd
root      2190  0.0  0.0 412952  8016 ?        Ssl  09:01   0:00 /usr/libexec/packagekitd
colord    2275  0.0  0.0 419576  6308 ?        Ssl  09:01   0:00 /usr/libexec/colord
root      2336  0.0  0.0      0     0 ?        S<   09:01   0:00 [kworker/3:1H]
root      2342  0.0  0.0 102940  5488 ?        S    09:01   0:00 /sbin/dhclient -d -q -sf /usr/libexec/nm-dhcp-helper -pf /var/run/dhclient-eno3.pid -lf /var/lib/NetworkManager/dhclient-5d69cd7f-d59f-4f83-b08f-ad05828a580b-eno3.lease -cf /var/lib/NetworkManager/dhclient-eno3.conf eno3
root      2388  0.0  0.0 535576  5728 ?        Sl   09:01   0:00 gdm-session-worker [pam/gdm-password]
iocuser   2400  0.0  0.0 317432  3820 ?        Sl   09:01   0:00 /usr/bin/gnome-keyring-daemon --daemonize --login
iocuser   2424  0.0  0.0 745300  9284 ?        Ssl  09:01   0:00 /usr/libexec/gnome-session-binary --session gnome-classic
iocuser   2433  0.0  0.0  59016   956 ?        S    09:01   0:00 dbus-launch --sh-syntax --exit-with-session
iocuser   2434  0.0  0.0  69288  2716 ?        Ssl  09:01   0:00 /usr/bin/dbus-daemon --fork --print-pid 5 --print-address 7 --session
iocuser   2465  0.0  0.0 288244  4132 ?        Sl   09:01   0:00 /usr/libexec/imsettings-daemon
iocuser   2469  0.0  0.0 388632  3976 ?        Sl   09:01   0:00 /usr/libexec/gvfsd
